Petrov Bom 38 | 36 (Count bottles)
Sidorov Teacher 53 | 154 (Load)
Slavicov Bom 21 | 26 (Count bottles)
Ivush Teacher 40 | 151 (Load)
Slhiven Student 18 | 5 (Average mark)
Ribos Student 20 | 4 (Average mark)
Aleg Teacher 61 | 86 (Load)
Rula Bom 42 | 36 (Count bottles)
Shtucer Student 20 | 8 (Average mark)
Strumel Student 22 | 7 (Average mark)
Vilox Bom 18 | 22 (Count bottles)
Jaja Teacher 22 | 81 (Load)
Lipa Teacher 50 | 65 (Load)
Limbizkit Bom 43 | 24 (Count bottles)
Limbo Student 17 | 8 (Average mark)
Limbosa Student 18 | 8 (Average mark)
